STRUCTURE_NUMBER_008,YEAR_BUILT_027,YEAR_RECONSTRUCTED_106,HISTORY_037,SERVICE_ON_042A,ROUTE_PREFIX_005B,LOCATION_009,FED_AGENCY,LAT_016,LONG_017
000000000014535,1953,0.0,5,5,3,'DERRY ST. LAWNTON',N,40152770,76485047
000000000014536,1961,0.0,5,5,3,'29TH STREET OVER I-83',N,40152951,76502244
000000000014537,1973,0.0,5,5,3,'29THSTPAXTANGBORO',N,40153085,76502269
000000000014538,1955,0.0,3,5,3,'STATE STREET',N,40155783,76524641
000000000014539,1930,,1,5,3,'STATE ST. BRIDGE  H-BURG',N,40155831,76524548
000000000014541,1966,1999.0,5,1,3,'1.5 MI. N. PROGRESS',N,40182920,76510090
000000000014543,1951,2003.0,5,5,3,'City of Harrisburg',N,40154558,76535130
000000000014545,1968,0.0,5,1,3,'1.5 NORTH OF PROGRESS',N,40190742,76492523
000000000014546,1959,0.0,5,1,3,'2 MI. N. OF PROGRESS',N,40191759,76492614
000000000014551,1968,0.0,5,1,3,'1 MI. S. LINGLESTOWN',N,40193372,76472861
000000000014557,1974,2013.0,5,1,3,'I-81 & 22-322 INTERCHANGE',N,40180657,76523754
000000000014558,1940,0.0,5,5,3,'MACLAY ST IN HARRISBURG',N,40165268,76531427
000000000014559,1940,0.0,5,5,3,'MACLAY ST IN HARRISBURG',N,40165600,76530263
000000000014560,1959,0.0,5,1,3,'3 MI. S. LINGLESTOWN',N,40174417,76460623
000000000014563,1976,0.0,5,5,3,'1.0 MI. N.E. OF HIGHSPIRE',N,40121342,76452812
000000000014564,1976,2006.0,5,1,3,'1.5 MI. N.E. OF HIGHSPIRE',N,40123844,76450964
000000000014565,1976,2007.0,5,1,3,'1.5 MI. N.E. OF HIGHSPIRE',N,40130818,76451789
000000000014566,1976,0.0,5,1,3,'1.5 MI. N. HIGHSPIRE',N,40130000,76450000
000000000014567,1971,2006.0,5,1,3,'2 MI. N.E. HIGHSPIRE',N,40133174,76452701
000000000014570,1974,0.0,5,1,3,'3.5 MI S W ELIZABETHVILLE',N,40303316,76505587
000000000014571,1982,0.0,5,1,3,'.5 MI. N.E. MILLERSBURG',N,40324770,76573669
000000000014575,1991,0.0,5,1,3,'1 MI S PILLOW',N,40374647,76472865
000000000014576,1860,2013.0,1,1,3,'ERDMAN',N,40383534,76413119
000000000014577,1949,1996.0,5,1,3,'2 MI E KILLINGER',N,40340480,76534040
000000000014583,1920,0.0,5,1,3,'2 MI N OF HALIFAX BORO',N,40295980,76561244
000000000014585,1920,0.0,5,1,3,'.5 MI. S. FISHERVILLE',N,40294947,76522324
000000000014589,1960,2012.0,5,1,3,'MILLERSBURG',N,40320735,76565828
000000000014590,1960,2012.0,5,1,3,'MILLERSBURG',N,40320892,76565687
000000000014599,1974,0.0,5,1,3,'2 MI S. LYKENS',N,40325335,76413914
000000000014600,1934,0.0,5,1,3,'1.25 MI.S. LYKENS',N,40330092,76414095
000000000014601,1937,2012.0,5,1,3,'1 MI. S. LYKENS',N,40330393,76413669
000000000014602,1974,0.0,5,1,3,'.75 MI. S. OF LYKENS',N,40332202,76415034
000000000014603,1974,2015.0,5,1,3,'.5 MI. S. OF LYKENS',N,40333178,76415257
000000000014604,1973,0.0,5,1,3,'LYKENS BORO',N,40335221,76420201
000000000014607,1949,2007.0,5,1,1,'HIGHSPIRE BORO',N,40123000,76471200
000000000014610,1949,0.0,5,1,1,'LOWER SWATARA TWP',N,40125350,76464426
000000000014613,1949,0.0,5,1,1,'LOWER SWATARA TWP',N,40124335,76454508
000000000014614,1950,0.0,5,5,3,'Londonderry Township',N,40123636,76440926
000000000014618,1950,0.0,5,1,3,'LONDONDERRY TOWNSHIP',N,40122260,76413541
000000000014619,1949,0.0,5,1,1,'LONDONDERRY TWP',N,40122212,76413239
000000000014620,1949,0.0,5,1,1,'LONDONDERRY TWP',N,40121650,76404320
000000000014621,1950,0.0,5,1,3,'LONDONDERRY TOWNSHIP',N,40123210,76392910
000000000014622,1949,0.0,5,1,1,'CONEWAGO TWP',N,40121200,76380000
000000000014623,1949,0.0,5,1,5,'CONEWAGO TWP',N,40121800,76371200
000000000014624,1949,0.0,5,1,1,'CONEWAGO TWP',N,40123230,76364890
000000000014625,1949,0.0,5,1,1,'CONEWAGO TWP',N,40122638,76355141
000000000014626,1949,0.0,5,1,1,'CONEWAGO TWP',N,40121800,76352400
000000000014627,1950,0.0,5,1,3,'CONEWAGO TOWNSHIP',N,40122701,76345222
000000000014628,1987,0.0,5,1,5,'WITF STUDIO PAXTON CRK',N,40172261,76514106
000000000014630,1984,2013.0,5,1,5,'1E I/S81/22/322/PAXTON CR',N,40182448,76520212
000000000014631,1987,0.0,5,1,5,'.6 NW 81 &PROG.AVE PXTCRK',N,40182186,76512021
000000000014632,1985,,5,5,5,'OFF DERRY ST/RUTHFRD YARD',N,40154823,76464080
000000000014633,1985,0.0,5,5,5,'OFF DERRY ST/RUTHFRD YARD',N,40154716,76464044
000000000014634,1985,,5,5,5,'OFF DERRY ST/RUTHFRD YARD',N,40154895,76464080
000000000014642,1958,0.0,5,1,5,'0.8 MI E OF SR 0743',N,40115900,76354550
000000000014644,1946,0.0,5,1,5,'1.4 MI NE OF SR 0230',N,40104132,76372931
000000000014645,1940,0.0,5,1,5,'0.5 MI SE OF SR 341',N,40123635,76354792
000000000014646,1973,1989.0,5,1,5,'1 SW HUMMELSTWN/DERRY',N,40145951,76440993
000000000014648,1995,0.0,5,1,5,'2 M-NE HERSHEY/NSRR',N,40182520,76365796
000000000014651,1980,0.0,5,1,5,'2.5 N UNION DEP/EHT/MANAD',N,40194229,76410217
000000000014652,1985,0.0,5,1,5,'BOW CR/2.4S GRANTVILLE',N,40203822,76390104
000000000014653,1988,0.0,5,1,5,'3 N HERSHY/EHANOVER/BOW',N,40200927,76385674
000000000014655,1930,1994.0,5,1,5,'1E US 22 & PA 39/MANADA C',N,40204660,76414278
000000000014656,1973,0.0,5,1,5,'3SW GRNTVL/MNDA C/E HNVR',N,40215865,76424688
000000000014659,1973,0.0,5,1,5,'1.8NE I-81/PA39/MANADA CR',N,40223782,76424138
000000000014660,1973,0.0,5,1,5,'1S MNDA GP/MNDA CR/E HNVR',N,40230708,76424142
000000000014661,1952,2007.0,5,1,5,'GRANTVILLE',N,40212798,76390051
000000000014662,1986,0.0,5,1,5,'2.2S HALIFAX/AARON/POWELL',N,40255999,76545326
000000000014663,1977,0.0,5,1,5,'YEAGER/2.3NE HLFX/ARMSTRG',N,40284163,76532961
000000000014664,1987,2019.0,5,1,5,'2.6S HALFX/BRSLR/POWEL CR',N,40253614,76555783
000000000014665,1973,0.0,5,1,5,'C.HEBRN/2.7SE HLFAX/POWLL',N,40261317,76532661
000000000014667,1974,0.0,5,1,5,'1.2NE ENDERS/ARMSTRONG CR',N,40302606,76495120
000000000014668,1975,0.0,5,1,5,'3.5S E-VILLE/ARMSTRONG CR',N,40305724,76490911
000000000014669,1979,0.0,5,1,5,'CARSONVILLE BR/POWELL CR',N,40285601,76453189
000000000014670,1976,0.0,5,1,5,'.7SW CARNSVLLE/N FRK POWE',N,40283399,76463801
000000000014671,1950,1990.0,5,1,5,'.4SW CRSNVLL/S.FRK.POWELL',N,40281830,76465894
000000000014672,1985,,5,1,5,'1.4 TMI/CONEWAGO CR#1',N,40084936,76415591
000000000014673,1982,0.0,5,1,5,'0.6 MI SW OF SR 0230',N,40095914,76393997
000000000014674,1996,0.0,5,1,5,'SE ROYALTON/AMTRAK RR',N,40094054,76405276
000000000014675,1980,0.0,5,1,5,'IRON RUN/SW I/S 283',N,40122048,76424499
000000000014676,1910,0.0,5,1,5,'0.5 MI NW OF SR 341',N,40121341,76422241
000000000014678,1960,0.0,5,1,5,'1.5 SW LNGLSTN/TR PAX CR',N,40192364,76491645
000000000014679,1996,0.0,5,1,5,'.1E I-83&1S PT./SPR CK',N,40160495,76484860
000000000014680,1979,0.0,5,1,5,'3 NW HMLT/S.HNV/L.PXT/BVR',N,40180506,76444272
000000000014681,1950,0.0,5,1,5,'1 SE PXTONIA/TRIB BEAVER',N,40175398,76460156
000000000014682,1980,0.0,5,1,5,'2.2NW SKYLN VW/BEAVER CR',N,40185059,76452788
000000000014683,1950,1980.0,5,5,5,'.3NW I/S 81&83/PAXTON CR',N,40185244,76502083
000000000014684,1950,0.0,5,1,5,'1.8N I/S 81&83/TR PXTN CR',N,40192769,76500651
000000000014685,1930,0.0,5,1,5,'1 SW LNGLSTN/TR PAXTN CR',N,40193502,76485286
000000000014688,1973,0.0,5,1,5,'HEBE/2.8NE PILLOW/MAHANTG',N,40391564,76444516
000000000014691,1998,0.0,5,1,5,'1E DAUPH BORO/STONEY CRK',N,40224044,76544184
000000000014693,1900,0.0,1,1,5,'SEAMAN BRIDGE',N,40373278,76512069
000000000014694,1996,0.0,5,1,5,'REITZ FARM BRIDGE',N,40353246,76514599
000000000014695,1973,0.0,5,1,5,'DEIBLERS GAP NEAR MALTA',N,40371218,76520999
000000000014696,1993,0.0,5,1,5,'1.2E INGLENK/SHOOP/POWELL',N,40250810,76573544
000000000014697,1981,0.0,5,1,5,'.8NW HUMMELSTWN/BEAVER CR',N,40161361,76442882
000000000014698,1954,1983.0,5,1,5,'.5W HUMLTN/S.HAN/SWTR/BVR',N,40155567,76441808
000000000014699,1984,0.0,5,1,5,'.3W HUMLTN/S.HAN/SWTR/BVR',N,40155324,76435783
000000000014701,1995,0.0,5,1,5,'1.3 MI N OF S.R. 0039',N,40183323,76401803
000000000014703,1974,2011.0,5,1,5,'2E MILLERSBURG/WICONISCO',N,40320134,76542404
000000000014704,1982,0.0,5,1,5,'3.2NE MILLBRG/L.WICONISCO',N,40333896,76543192
000000000014705,1990,0.0,5,1,5,'3W E-VILLE/RIFE/WICONISCO',N,40322251,76525983
000000000014707,1973,0.0,5,1,5,'.1S MALTA/MAHANTANGO CRK.',N,40363996,76544140
000000000014708,1973,2012.0,5,1,5,'COOPER/2NW E-VLLE/WICONIS',N,40332603,76512467
000000000014709,1990,0.0,5,1,5,'2.8 W E-VILLE/WICONISCO',N,40324057,76520621
000000000014710,1973,0.0,5,1,5,'.5S LOYALTON/WICONISCO',N,40333576,76453801
000000000014713,1971,0.0,5,1,5,'.2NW LOYALTON/WICONISCO',N,40344661,76461670
000000000014714,1990,0.0,5,1,5,'HENNINGER/2.2 NE E-VILLE',N,40343899,76470240
000000000014715,1999,0.0,5,1,5,'.4S ENTERLINE/POWELL CRK',N,40272474,76501619
000000000014716,1974,0.0,5,1,5,'.7S ENTERLINE/POWELL CRK.',N,40270606,76505475
000000000014717,1980,0.0,5,1,5,'.9ESE ENTERLINE/POWELL CR',N,40273570,76493347
000000000014719,1975,0.0,5,1,5,'2000 FT SE OF SR 4013',N,40281177,76474458
000000000014720,1991,0.0,5,1,5,'0.83 MI SE OF SR 4013',N,40263411,76522144
000000000014721,1982,0.0,5,5,5,'READING DEPOT/.2N LYKENS',N,40341062,76420128
000000000014722,1974,0.0,5,1,5,'E LYKENS/WICONISCO CRK',N,40341483,76403509
000000000014723,1998,0.0,5,5,5,'0.3 NE LYKENS/WICONISCO',N,40340651,76414448
000000000014724,1987,0.0,5,1,5,'W OF WMTWN BORO/WICONISCO',N,40343736,76373304
000000000014725,1980,0.0,5,1,5,'.2SW WMTWN/WICONISCO CRK',N,40344008,76371308
000000000014731,1969,0.0,5,5,5,'SPRING CR/INCINOR DR/HBG',N,40143421,76512576
000000000014732,1908,0.0,2,5,5,'PAXTON CR/HEMLOCK ST/HBG',N,40150685,76520631
000000000014733,1930,0.0,5,1,5,'PAXTON CR/LYME ALLEY/HBG',N,40155291,76523143
000000000014734,1900,0.0,5,5,5,'MARKET ST/ PAXTON CRK',N,40155139,76523106
000000000014736,1940,0.0,5,1,5,'PAXTON CR/MULBERRY ST/HBG',N,40154180,76522621
000000000014737,1960,0.0,5,5,5,'N SIDE STATE ST/PAXTON CR',N,40154153,76522600
000000000014738,1919,1993.0,5,5,5,'PAXTON CR/SHANOIS ST/HBG',N,40145307,76515272
000000000014739,1940,0.0,5,5,5,'PXTN C/UNDER STATE ST/HBG',N,40160219,76523512
000000000014740,1920,1995.0,5,5,5,"'400""WOFCAMERON/PAXTON'",N,40150087,76520040
000000000014741,1914,0.0,5,1,5,'WLNT ST OVER JONSTN R/HBG',N,40160058,76522533
000000000014742,1962,0.0,5,5,5,'PAXTON CR/WALNUT ST/HBG',N,40155748,76523332
000000000014743,1910,0.0,2,5,5,'PXTN C/S 10TH/MUL RMP/HBG',N,40154116,76522594
000000000014744,1987,0.0,5,1,5,'HACC ENTRANCE',N,40172659,76530802
000000000014745,1977,0.0,5,5,5,'CITY OF HARRISBRG/AMTRAK',N,40145778,76520739
000000000014746,1965,0.0,5,5,5,'OFF PAXTON ST/HARRISBURG',N,40152398,76515695
000000000014747,1970,0.0,5,5,5,'C.OF HBG.NSX@I-83',N,40152562,76513573
000000000014749,1978,0.0,5,1,5,'0.3 MI NE OF SR 230',N,40124058,76470902
000000000014750,1981,0.0,5,5,5,'S.BORDER LYKENS/RATTLING',N,40335629,76423239
000000000014751,1977,0.0,5,5,5,'SWATARA CR; MIDDLETOWN',N,40112062,76435793
000000000014752,1992,0.0,5,5,5,'GRUBB ST; MIDDLETOWN BORO',N,40113089,76434069
000000000014753,1996,0.0,5,5,5,'ANN ST./AMTRAK&NSX',N,40114609,76442117
000000000014757,1920,1995.0,5,1,7,'DGS ANNEX',N,40170108,76521878
000000000014758,1972,0.0,5,1,3,'N.END WADE BRIDGE',N,40184043,76540572
000000000014759,1972,0.0,5,1,3,'N.END WADE BRIDGE',N,40184083,76540574
000000000014760,1972,,5,1,3,'N.END WADE BRIDGE',N,40184544,76540369
000000000014761,1972,2013.0,5,1,3,'SUSQUEHANNA TWP',N,40184461,76535455
000000000014762,1972,2013.0,5,1,3,'SUSQUEHANNA TWP',N,40184296,76535508
000000000014763,1977,2020.0,5,7,3,'INTER OF I81 & US 22',N,40181229,76524704
000000000014764,1977,2013.0,5,6,3,'INTER I81 & US22',N,40181800,76530000
000000000014765,1977,,5,1,3,'INTER I81 & US22',N,40181800,76530000
000000000014766,1977,,5,6,3,'INTER OF I81 & US22',N,40181800,76530000
000000000014767,1977,2020.0,5,1,3,'INTER OF I81 & US22',N,40180513,76525305
000000000014768,1986,0.0,5,5,3,'CLARKS FERRY',N,40235066,77003101
000000000014769,1986,,5,1,3,'RAMP A; CLARKS FERRY BR.',N,40235199,77002853
000000000014770,1969,2003.0,5,1,3,'1 MI. N. PROGRESS',N,40194200,76500000
000000000014771,1970,0.0,5,1,3,'2 MI. E. OF HBG.',N,40151780,76475650
000000000014772,1982,0.0,5,1,3,'SOUTH HARRISBURG',N,40150191,76522291
000000000014773,1982,0.0,5,1,3,'SOUTH HARRISBURG',N,40150795,76521122
000000000014774,1982,0.0,5,1,3,'SOUTH HARRISBURG',N,40150104,76522775
000000000014775,1982,0.0,5,1,3,'SOUTH HARRISBURG',N,40150890,76521260
000000000014776,1976,0.0,5,1,3,'AIRPORT CONNECTOR&PA 230',N,40121680,76452570
000000000014777,1976,0.0,5,1,3,'1 MI E OF HIGHSPIRE',N,40133000,76453000
000000000014778,1976,0.0,5,1,3,'1 MI. E. HIGHSPIRE',N,40120000,76440000
000000000014779,1970,0.0,5,1,3,'EISENHOWER INTERCHANGE',N,40150545,76484893
000000000014780,1970,0.0,5,1,3,'EISENHOWER INTERCHANGE',N,40150940,76484550
000000000014781,1970,0.0,5,1,3,'EISENHOWER INTERCHANGE',N,40151190,76485020
000000000014782,1959,0.0,5,1,3,'2 MILES N.OF CLARKS FERRY',N,40254200,77010000
000000000014784,1937,2011.0,5,1,2,'MARKHAM            32E10',N,39532043,75304086
000000000014791,1960,1993.0,5,1,2,'.5MI.EAST PA 352   33J06',N,39545810,75250389
000000000014793,1959,1995.0,5,1,2,'1.5MI.S.PA 252     33K04',N,39553196,75242935
000000000014794,1959,0.0,5,5,3,'.5MI.N.OF MEDIA    34B03',N,39555712,75235310
000000000014798,1959,1995.0,5,1,2,'.5MI.NORTH PA-252  34D02',N,39561074,75224799
000000000014800,1959,1995.0,5,1,2,'1MI.NORTH PA 252   34E02',N,39561134,75222666
000000000014801,1958,1990.0,5,1,2,'MARPLE;UPPER PROV. 34F02',N,39561151,75221396
000000000014807,1950,1995.0,5,5,2,'EAST TOWNSHIP LINE 26B13',N,39564174,75193797
000000000014809,1935,2015.0,5,5,2,'HAVERFORD TOWNSHIP 26J08',N,39582830,75165280
000000000014810,1934,0.0,5,1,2,'DEL.-PHILA.LINE    26J08',N,39582990,75164887
000000000014812,1962,1977.0,5,1,3,'2MI.W.NEWTOWN SQ.  24F08',N,39583545,75261054
000000000014815,1989,0.0,5,5,3,'W.CHESTER PK.INTER.25K07',N,39584116,75202505
000000000014816,1957,1989.0,5,5,3,'1MI.WEST MANOA     26A07',N,39583797,75201065
000000000014821,1959,0.0,5,5,3,'1MI.EAST LR 719    26F09',N,39581204,75180938
000000000014823,1900,0.0,2,5,3,'63RD MARKET STR.   27D10',N,39574562,75144997
000000000014827,1988,0.0,5,5,2,'MARCUS HOOK        42K10',N,39492047,75243588
000000000014833,1987,0.0,5,5,2,'SOUTH OF ROUTE 95  43J02',N,39514659,75205552
000000000014834,1926,0.0,5,5,2,'CRUM CREEK         43K02',N,39515960,75202874
000000000014838,1925,2013.0,5,5,2,'1MI.N.OF PA 420  3698 C08',N,39533602,75174396
000000000014845,1993,0.0,5,5,2,'CHURCH LANE        36B01',N,39562256,75152323
000000000014848,1927,0.0,5,5,2,'PHILADELPHIA LIMIT 36D01',N,39563593,75145033
000000000014849,1960,1991.0,5,1,2,'W.I-476 INTERCHANG 14G09',N,40021734,75214408
000000000014851,1990,0.0,5,1,2,'LANCASTER AVE.     14G09',N,40021519,75213768
000000000014857,1967,1991.0,5,1,1,'.2MI.N.DELAWARE    42D10',N,39491574,75264824
000000000014858,1968,0.0,5,1,1,'.3MI.N.DEL.ST.LINE 42D10',N,39491706,75264520
000000000014859,1967,,5,1,1,'.2MI.N.DELAWARE LN.42D10',N,39491647,75264895
000000000014865,1967,1980.0,5,1,1,'.3MI.S.PENNA.452   42G08',N,39495185,75254222
000000000014867,1966,1980.0,5,1,1,'UPPER CHICHESTER   42H08',N,39500157,75252719
000000000014869,1967,1981.0,5,1,1,'.3MI.S.PENNA.452   42G08',N,39495280,75254270
000000000014871,1966,1981.0,5,1,1,'UPPER CHICHESTER   42H08',N,39500277,75252727
000000000014875,1966,1980.0,5,1,1,'US322 RAMP         42K06',N,39502394,75242246
000000000014878,1967,,5,1,1,'US 322 INTERCHANGE 42K06',N,39502714,75242517
000000000014881,1967,0.0,5,5,3,'.3MI.N.OF US-322   43A06',N,39502988,75240678
000000000014886,1977,2010.0,5,1,1,'BARRY BRIDGE RAMPS 43C05',N,39504932,75231490
000000000014889,1964,,5,1,1,'1.5MI.N.OF US 322  43D05',N,39505536,75225536
000000000014892,1964,1980.0,5,1,1,'CITY OF CHESTER    43E04',N,39510635,75222550
000000000014893,1965,1991.0,5,1,1,'BORO OF UPLAND     43F04',N,39510971,75221714
000000000014899,1965,1991.0,5,1,1,'OVER RIDLEY CREEK  43J02',N,39514994,75205596
000000000014901,1975,0.0,5,1,1,'2MI.NORTH LR-132   43J02',N,39515190,75205323
000000000014904,1975,0.0,5,1,1,'JUNCTION W/I-476   43K01',N,39520282,75203689
000000000014905,1975,0.0,5,1,1,'JUNCTION W/I-476   43K01',N,39520464,75203111
000000000014906,1975,0.0,5,1,1,'CHESTER PIKE       43K01',N,39520410,75201979
000000000014907,1975,0.0,5,1,1,'JUNCTION W/I-476   43K01',N,39520315,75203764
000000000014908,1975,0.0,5,1,1,'JUNCTION W/I-476   43K01',N,39520514,75203215
000000000014910,1975,0.0,5,1,1,'CHESTER PIKE       43K01',N,39520463,75201835
000000000014912,1975,0.0,5,1,1,'.5MI.S.STEWART AVE.44A01',N,39520267,75200085
000000000014913,1975,0.0,5,1,1,'.4MI.S.SELLERS AVE.44B01',N,39520635,75194995
000000000014915,1975,,5,1,1,'OVER AMTRAK        44A01',N,39520600,75200000
000000000014919,1975,0.0,5,1,1,'.2MI.N.STEWART AVE.44C01',N,39521498,75191161
000000000014921,1975,0.0,5,1,1,'.2MI.N.STEWART AVE.44C01',N,39521607,75191221
000000000014926,1975,2006.0,5,1,1,'TINICUM            44D01',N,39520832,75185271
000000000014936,1983,2010.0,5,1,1,'NR.SCOTTS PAPER    36B13',N,39523270,75161847
000000000014938,1983,,5,1,1,'NR.SCOTTS PAPER    36B13',N,39523410,75161870
000000000014941,1925,0.0,5,1,3,'2MI.S.CHADDS FORD  40B04',N,39511369,75354677
000000000014948,1928,0.0,5,5,3,'2MI.NORTH PA.320   34E08',N,39541354,75223003
000000000014949,1960,0.0,5,5,3,'1MI.NORTH MEDIA    34C02',N,39560960,75233043
000000000014951,1968,0.0,5,1,3,'2MI.N.W.CHESTER PK.24J02',N,40002744,75250818
000000000014952,1947,0.0,5,1,3,'3MI.SE.CONCORDVIL. 41K03',N,39512935,75283727
000000000014953,1919,1990.0,5,5,3,'CHESTER CREEK      43G06',N,39504096,75213561
000000000014956,1948,0.0,5,5,3,'EDDYSTONE          43J04',N,39511499,75204836
000000000014957,1948,0.0,5,5,3,'EDDYSTONE        3807 F04',N,39512206,75203443
000000000014958,1949,2012.0,5,5,3,'RIDLEY TWP.LINE    44B02',N,39514784,75192708
000000000014959,1943,2014.0,5,5,3,'TINICUM TWP LINE   44D02',N,39515887,75184820
000000000014960,1984,0.0,5,1,3,'NR.HILTON COMP.  3808 F01',N,39522906,75163005
000000000014961,1948,0.0,5,5,3,'1MI.S.PHILA.AIRPT. 36A13',N,39523180,75160085
000000000014964,1968,2010.0,5,5,3,'.7MI.S. RIDLEY CK. 43G03',N,39512545,75213879
000000000014965,1982,0.0,5,5,3,'.5MI.N.MACDADE BVD.43G01',N,39522032,75214072
000000000014966,1989,0.0,5,5,3,'1MI.TO CHESTER     34H11',N,39531405,75212068
000000000014969,1949,1986.0,5,5,3,'.5MI.N.BALTIMORE   34J05',N,39550697,75205486
000000000014970,1977,0.0,5,5,3,'SPRINGFIELD TWP   3587D10',N,39561767,75210174
000000000014972,1989,0.0,5,5,3,'CARDINAL OHARA HS 25J13',N,39563600,75210000
000000000014974,1967,,5,5,3,'1MI.N.W.CHESTER PK.25H04',N,39594501,75212129
000000000014975,1922,0.0,5,1,3,'S.CONESTOGA ROAD   14G11',N,40014766,75214926
000000000014979,1993,0.0,5,5,3,'VILLANOVA STATION  14K09',N,40022002,75203336
000000000014984,1949,0.0,5,1,2,'UPPER CHICHESTER   42D05',N,39510147,75270813
000000000014987,1949,0.0,5,1,2,'UPPER CHICHESTER   42H05',N,39504523,75253242
000000000014988,1949,0.0,5,5,2,'1MILE WEST OF I-95 42J06',N,39503638,75245722
000000000014989,1967,2010.0,5,5,3,'.8MI.S.RIDLEY CK.  43G03',N,39512501,75214014
000000000014990,1949,0.0,5,5,3,'2MI.EAST TRAINER   33J08',N,39541956,75245589
000000000014991,1935,1979.0,5,1,3,'GRANITE RUN MALL   33H06',N,39545465,75252834
000000000014993,1975,,5,1,3,'OVER I-95;TINICUM  44F01',N,39521516,75180451
000000000014997,1967,0.0,5,5,3,'.4MI.NORTH I-95    35E13',N,39523564,75181660
000000000014998,1967,0.0,5,5,3,'.8MI.NORTH SR795   35E13',N,39535400,75190000
000000000014999,1930,1951.0,5,5,3,'.4MILES NORTH I-95 35E13',N,39523520,75181720
000000000015008,1968,,5,5,3,'1MI.SOUTH RTE.322  42H08',N,39495652,75252659
000000000015009,1987,0.0,5,1,3,'SOUTH ROUTE 322    42H06',N,39502616,75253036
000000000015013,1986,0.0,5,1,3,'2MI.S.BALTIMORE PK.33F10',N,39533734,75255927
000000000015014,1963,0.0,5,5,3,'GLEN RIDDLE STA.   33F09',N,39534816,75261087
000000000015020,1988,0.0,5,1,1,'MACDADE BLVD.INTER.34J13',N,39522586,75210173
000000000015024,1987,0.0,5,1,1,'MACDADE BLVD.INTR. 34J13',N,39522400,75203600
000000000015027,1988,0.0,5,1,1,'BLACK ROCK PARK    34H11',N,39530362,75211093
000000000015028,1989,0.0,5,1,1,'AT MAYER LANDFILL  34H11',N,39531863,75212391
000000000015030,1988,0.0,5,1,1,'BLACK ROCK PARK    34H11',N,39530326,75211164
000000000015032,1989,0.0,5,1,1,'AT MAYERS LANDFILL 34H11',N,39531788,75212434
000000000015035,1989,0.0,5,1,1,'ROSE VALLEY ROAD   34G10',N,39533640,75213368
000000000015038,1989,0.0,5,1,1,'ROSE VALLEY ROAD   34G10',N,39533596,75213458
000000000015040,1989,0.0,5,1,1,'1/3MI.N.VALLEY RD. 34G09',N,39535415,75213617
000000000015043,1989,0.0,5,1,1,'1/3MI.N.VALLEY RD. 34G09',N,39535484,75213760
000000000015048,1989,0.0,5,5,3,'.2MI.S.BALT.PIKE   34G07',N,39543492,75214373
000000000015049,1989,0.0,5,1,1,'SPRINGFIELD MALL   34G06',N,39544650,75214350
000000000015050,1990,0.0,5,1,1,'SPRINGFIELD MALL   34G06',N,39545846,75214378
000000000015051,1989,0.0,5,1,1,'SPRINGFIELD MALL   34G06',N,39544581,75214442
000000000015052,1989,0.0,5,1,1,'SPRINGFIELD MALL   34G06',N,39545765,75214464
000000000015054,1990,0.0,5,1,1,'SMEDLEY PARK       34G05',N,39551338,75214415
000000000015056,1990,0.0,5,1,1,'SMEDLEY PARK       34G04',N,39551200,75214200
000000000015058,1990,0.0,5,1,1,'SMEDLEY PARK       34G05',N,39551307,75214497
000000000015059,1990,0.0,5,1,1,'SMEDLEY PARK       34G04',N,39552456,75214518
000000000015064,1990,0.0,5,1,1,'1MI.W.SPRGFLD.RD.  34G02',N,39561662,75214788
000000000015072,1989,0.0,5,5,3,'CARDINAL OHARA HS 25J13',N,39564803,75204886
000000000015075,1989,0.0,5,1,1,'.2MI.SE.LAWRENCE   26A09',N,39580860,75200980
000000000015080,1989,0.0,5,1,1,'.2MI.SE LAWRENCE   26A09',N,39580823,75201044
000000000015083,1989,0.0,5,1,1,'.8MI.NE.OF OHARA  26A12',N,39571679,75201211
000000000015089,1989,0.0,5,1,1,'.8MI.NE.OF OHARA  26A12',N,39571713,75201289
000000000015102,1990,0.0,5,1,1,'BLUE ROUTE         25K05',N,39593110,75204113
000000000015104,1990,0.0,5,1,1,'BLUE ROUTE         25K05',N,39593121,75204225
000000000015106,1967,0.0,5,1,1,'HAVERFORD TWP.     25J04',N,39595480,75205626
000000000015108,1967,0.0,5,1,1,'HAVERFORD TWP.     25J03',N,40000639,75210376
000000000015112,1967,0.0,5,1,1,'HAVERFORD TWP.     25J04',N,39595470,75205746
000000000015114,1967,0.0,5,1,1,'HAVERFORD TWP.     25J03',N,40000603,75210477
000000000015116,1967,0.0,5,1,1,'RADNOR TOWNSHIP    25H03',N,40001609,75210984
000000000015118,1967,0.0,5,1,1,'RADNOR TOWNSHIP    25H02',N,40002559,75211547
000000000015122,1967,0.0,5,1,1,'RADNOR TOWNSHIP    25H03',N,40001535,75211066
000000000015123,1967,0.0,5,1,1,'RADNOR TOWNSHIP   3477D09',N,40002545,75211682
000000000015127,1967,1987.0,5,1,1,'RADNOR TOWNSHIP    25H01',N,40005249,75212548
000000000015129,1967,1987.0,5,1,1,'RADNOR TOWNSHIP    25H01',N,40005204,75212658
000000000015130,1967,0.0,5,1,1,'RADNOR TOWNSHIP    14G13',N,40011192,75213437
000000000015133,1989,0.0,5,1,1,'CONESTOGA;SPROUL   14G11',N,40014871,75214667
000000000015136,1989,0.0,5,1,1,'N.CONESTOGA RD.    14G11',N,40015303,75214483
